
 10%|███████████████                                                                                                                                     | 102/1000 [00:01<00:13, 66.53it/s]
epoch :: train 10 loss:  0.0006322557455860078
epoch :: train 20 loss:  0.008617641404271126
epoch :: train 30 loss:  0.17347818613052368
epoch :: train 40 loss:  0.5175339579582214
epoch :: train 50 loss:  0.005199155304580927
epoch :: train 60 loss:  0.451608270406723
epoch :: train 70 loss:  0.06192779913544655
epoch :: train 80 loss:  0.03310106322169304
epoch :: train 90 loss:  0.0308266282081604

 24%|███████████████████████████████████▊                                                                                                                | 242/1000 [00:03<00:11, 66.94it/s]
epoch :: train 110 loss:  0.05193173885345459
epoch :: train 120 loss:  0.13872522115707397
epoch :: train 130 loss:  0.0007679939153604209
epoch :: train 140 loss:  0.04046398401260376
epoch :: train 150 loss:  0.009681034833192825
epoch :: train 160 loss:  0.039529863744974136
epoch :: train 170 loss:  0.07646127790212631
epoch :: train 180 loss:  0.08026242256164551
epoch :: train 190 loss:  0.04097269847989082
epoch :: train 200 loss:  0.06023769453167915
epoch :: train 210 loss:  0.007763976231217384
epoch :: train 220 loss:  0.015616090036928654
epoch :: train 230 loss:  0.13760800659656525

 37%|██████████████████████████████████████████████████████▍                                                                                             | 368/1000 [00:05<00:09, 64.38it/s]
epoch :: train 250 loss:  0.08153492212295532
epoch :: train 260 loss:  0.17353777587413788
epoch :: train 270 loss:  0.0022706000600010157
epoch :: train 280 loss:  0.0017351940041407943
epoch :: train 290 loss:  0.1218222826719284
epoch :: train 300 loss:  0.001793809817172587
epoch :: train 310 loss:  0.13952192664146423
epoch :: train 320 loss:  0.04461480677127838
epoch :: train 330 loss:  0.008120575919747353
epoch :: train 340 loss:  0.03393203020095825
epoch :: train 350 loss:  0.015254691243171692

 49%|████████████████████████████████████████████████████████████████████████▉                                                                           | 493/1000 [00:07<00:07, 63.68it/s]
epoch :: train 370 loss:  0.02248418889939785
epoch :: train 380 loss:  0.004707456566393375
epoch :: train 390 loss:  0.035767387598752975
epoch :: train 400 loss:  0.013079975731670856
epoch :: train 410 loss:  0.022546973079442978
epoch :: train 420 loss:  0.02440880984067917
epoch :: train 430 loss:  0.03313204273581505
epoch :: train 440 loss:  0.00028657997609116137
epoch :: train 450 loss:  0.03953218832612038
epoch :: train 460 loss:  0.1003626137971878
epoch :: train 470 loss:  0.0008976037497632205
epoch :: train 480 loss:  0.003134517464786768

 63%|████████████████████████████████████████████████████████████████████████████████████████████▋                                                       | 626/1000 [00:09<00:06, 60.17it/s]
epoch :: train 500 loss:  0.009061667136847973
epoch :: train 510 loss:  0.0020807243417948484
epoch :: train 520 loss:  0.010047315619885921
epoch :: train 530 loss:  0.03628835082054138
epoch :: train 540 loss:  0.003607636084780097
epoch :: train 550 loss:  0.1453971266746521
epoch :: train 560 loss:  0.0030389362946152687
epoch :: train 570 loss:  0.00024457668769173324
epoch :: train 580 loss:  0.0074088554829359055
epoch :: train 590 loss:  0.0010386742651462555
epoch :: train 600 loss:  0.10329484939575195
epoch :: train 610 loss:  0.12631286680698395

 75%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████▍                                    | 753/1000 [00:11<00:03, 63.62it/s]
epoch :: train 630 loss:  0.0018180451588705182
epoch :: train 640 loss:  0.00941947940737009
epoch :: train 650 loss:  0.0005896839429624379
epoch :: train 660 loss:  0.05692097917199135
epoch :: train 670 loss:  0.0008615929400548339
epoch :: train 680 loss:  0.004482632968574762
epoch :: train 690 loss:  5.688377495971508e-05
epoch :: train 700 loss:  0.1298745572566986
epoch :: train 710 loss:  0.05258965492248535
epoch :: train 720 loss:  0.04251598194241524
epoch :: train 730 loss:  0.006929557770490646
epoch :: train 740 loss:  0.0325448103249073

 88%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▉                 | 885/1000 [00:13<00:01, 65.83it/s]
epoch :: train 760 loss:  0.012836962938308716
epoch :: train 770 loss:  0.003685003612190485
epoch :: train 780 loss:  0.0009911601664498448
epoch :: train 790 loss:  0.0053948103450238705
epoch :: train 800 loss:  0.10596981644630432
epoch :: train 810 loss:  2.9257305868668482e-05
epoch :: train 820 loss:  0.02291552536189556
epoch :: train 830 loss:  0.0077315946109592915
epoch :: train 840 loss:  0.020930791273713112
epoch :: train 850 loss:  0.03912202641367912
epoch :: train 860 loss:  0.019302494823932648
epoch :: train 870 loss:  0.010960360988974571

100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎| 995/1000 [00:15<00:00, 59.58it/s]
epoch :: train 890 loss:  0.0011540903942659497
epoch :: train 900 loss:  0.004156449344009161
epoch :: train 910 loss:  1.0324443792342208e-05
epoch :: train 920 loss:  0.006218192167580128
epoch :: train 930 loss:  0.016772357746958733
epoch :: train 940 loss:  1.6668273019604385e-05
epoch :: train 950 loss:  0.1266513466835022
epoch :: train 960 loss:  0.011345583014190197
epoch :: train 970 loss:  0.0006430262001231313
epoch :: train 980 loss:  0.010958713479340076
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1000/1000 [00:15<00:00, 64.44it/s]
100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1000/1000 [00:00<00:00, 24272.45it/s]
epoch :: train 1000 loss:  6.58347416901961e-05
epoch :: eval 10 loss:  6.58347416901961e-05
epoch :: eval 20 loss:  6.58347416901961e-05
epoch :: eval 30 loss:  6.58347416901961e-05
epoch :: eval 40 loss:  6.58347416901961e-05
epoch :: eval 50 loss:  6.58347416901961e-05
epoch :: eval 60 loss:  6.58347416901961e-05
epoch :: eval 70 loss:  6.58347416901961e-05
epoch :: eval 80 loss:  6.58347416901961e-05
epoch :: eval 90 loss:  6.58347416901961e-05
epoch :: eval 100 loss:  6.58347416901961e-05
epoch :: eval 110 loss:  6.58347416901961e-05
epoch :: eval 120 loss:  6.58347416901961e-05
epoch :: eval 130 loss:  6.58347416901961e-05
epoch :: eval 140 loss:  6.58347416901961e-05
epoch :: eval 150 loss:  6.58347416901961e-05
